order_date,order_id,customer_id,channel,discount_code,revenue,discount_amount,was_returned
2026-07-25,14398,C-03642,paid_search,,102.81,0.00,0
2026-07-25,14399,C-06978,email,,44.56,0.00,0
2026-07-25,14401,C-02388,paid_search,,59.21,0.00,1
2026-07-25,14402,C-06950,paid_search,SPRING15,63.18,21.29,1
2026-07-25,14403,C-06982,email,THANKYOU5,42.87,7.38,0
2026-07-25,14405,C-01787,email,,82.75,0.00,0
2026-07-25,14407,C-05538,email,,55.46,0.00,0
2026-07-25,14408,C-06963,marketplace,SAVE20,51.05,6.90,0
2026-07-25,14410,C-06956,paid_search,WELCOME10,58.69,14.44,1
2026-07-25,14413,C-06980,email,,59.61,0.00,0
2026-07-25,14416,C-01896,organic,,64.41,0.00,0
2026-07-25,14419,C-06967,marketplace,THANKYOU5,41.05,5.52,0
2026-07-25,14420,C-02514,marketplace,SAVE20,34.19,5.93,0
2026-07-25,14421,C-00641,email,,68.73,0.00,0
2026-07-25,14422,C-06977,email,,50.49,0.00,0
2026-07-25,14425,C-06959,paid_search,SAVE20,70.76,16.72,0
2026-07-25,14426,C-06989,organic,,54.19,0.00,0
2026-07-25,14429,C-01433,email,,53.50,0.00,0
2026-07-25,14432,C-02732,email,,95.14,0.00,0
2026-07-25,14434,C-06987,organic,SPRING15,46.82,7.41,0
2026-07-25,14435,C-06955,paid_search,THANKYOU5,50.44,13.22,0
2026-07-25,14436,C-01909,paid_search,,70.06,0.00,0
2026-07-25,14437,C-02206,paid_search,,44.82,0.00,1
2026-07-25,14438,C-06957,paid_search,,78.00,0.00,0
2026-07-25,14439,C-06970,marketplace,,62.59,0.00,0
2026-07-25,14441,C-05276,organic,,59.55,0.00,0
2026-07-25,14442,C-01839,email,,69.95,0.00,0
2026-07-25,14443,C-06952,paid_search,,87.78,0.00,0
2026-07-25,14444,C-02836,organic,,58.22,0.00,0
2026-07-25,14445,C-02841,marketplace,,60.14,0.00,0
2026-07-25,14446,C-06954,paid_search,THANKYOU5,52.61,15.58,0
2026-07-25,14448,C-06973,email,,69.57,0.00,0
2026-07-25,14449,C-00554,paid_search,,41.48,0.00,0
2026-07-25,14452,C-03273,email,,99.08,0.00,0
2026-07-25,14454,C-06968,marketplace,,71.47,0.00,0
2026-07-25,14457,C-06981,email,WELCOME10,49.09,6.10,0
2026-07-25,14458,C-04456,email,,54.24,0.00,0
2026-07-25,14460,C-04635,organic,,62.76,0.00,0
2026-07-25,14461,C-06953,paid_search,SAVE20,57.73,14.58,1
2026-07-25,14462,C-02896,marketplace,,87.82,0.00,0
2026-07-25,14463,C-06985,organic,,67.22,0.00,0
2026-07-25,14464,C-01779,organic,,60.68,0.00,0
2026-07-25,14465,C-04612,email,WELCOME10,55.04,4.94,0
2026-07-25,14468,C-03124,email,SPRING15,64.32,11.22,0
2026-07-25,14471,C-03744,email,,65.16,0.00,0
2026-07-25,14472,C-03968,organic,SAVE20,59.83,3.91,0
2026-07-25,14475,C-06972,email,,41.95,0.00,0
2026-07-25,14476,C-06971,marketplace,,46.76,0.00,0
2026-07-25,14477,C-00033,email,,81.26,0.00,0
2026-07-25,14478,C-05983,organic,,61.68,0.00,0
2026-07-25,14481,C-04246,email,,82.03,0.00,0
2026-07-25,14483,C-06979,email,,64.55,0.00,0
